ID,betingelse,item,svar,svartid,maksimalafvigelser
11,1,1,1,3.20,0.86188
11,1,5,1,1.66,-0.17924
11,1,9,1,1.78,1.14227
11,1,13,1,1.54,0.31765
11,2,3,1,2.80,0.07716
11,2,7,1,2.44,0.68571
11,2,11,1,2.16,0.18342
11,2,15,0,1.86,0.58946
11,3,4,0,3.08,1.11481
11,3,8,1,3.26,0.12652
11,3,12,1,1.68,-0.11435
11,3,16,0,5.10,-0.09279
11,4,2,1,6.04,0.68693
11,4,6,1,2.04,-0.09544
11,4,10,1,2.70,-0.65479
11,4,14,1,6.04,-0.44472
11,5,17,0,2.85,-0.14398
11,5,21,0,1.66,0.24499
11,5,25,0,3.80,-0.31050
11,5,29,0,1.74,0.65046
11,6,19,1,2.24,-0.07772
11,6,23,1,2.16,0.45180
11,6,27,0,3.94,0.85938
11,6,31,0,1.76,-0.03232
11,7,20,1,3.22,0.40772
11,7,24,0,3.56,0.03606
11,7,28,0,2.09,-0.34607
11,7,32,0,2.89,0.87264
11,8,18,1,1.77,1.23311
11,8,22,0,1.56,-0.13665
11,8,26,0,1.70,0.85498
11,8,30,1,2.42,0.21113
12,1,2,1,3.26,1.09064
12,1,6,1,3.09,0.24428
12,1,10,1,2.21,-0.08517
12,1,14,1,2.07,-0.06809
12,2,4,0,2.39,-0.14062
12,2,8,0,3.21,0.08251
12,2,12,0,3.70,0.14673
12,2,16,1,2.43,1.00856
12,3,1,1,2.31,-0.10523
12,3,5,1,1.57,-0.05026
12,3,9,1,2.81,0.06714
12,3,13,1,1.81,0.43768
12,4,3,1,3.22,-0.07444
12,4,7,0,2.74,0.21942
12,4,11,0,3.07,0.08006
12,4,15,0,2.05,-0.04702
12,5,18,0,1.77,0.03843
12,5,22,0,2.43,0.13307
12,5,26,0,1.95,-0.18147
12,5,30,1,4.89,0.97052
12,6,20,0,2.35,0.04324
12,6,24,1,2.62,0.11702
12,6,28,1,2.39,-0.18029
12,6,32,1,2.37,0.18700
12,7,17,0,2.36,0.06133
12,7,21,0,1.94,0.64197
12,7,25,0,2.41,0.04036
12,7,29,0,1.77,0.05528
12,8,19,1,2.25,-0.08040
12,8,23,1,1.88,-0.08228
12,8,27,0,2.73,-0.07789
12,8,31,0,3.07,-0.06106
13,1,3,1,3.06,0.26218
13,1,7,0,2.52,-0.11729
13,1,11,1,2.39,0.96971
13,1,15,0,3.08,0.67882
13,2,1,0,3.02,0.54914
13,2,5,0,3.91,0.12695
13,2,9,1,1.86,0.07938
13,2,13,0,2.82,1.06288
13,3,2,0,2.45,0.91684
13,3,6,0,4.73,1.23819
13,3,10,1,2.26,0.42643
13,3,14,1,2.94,0.98932
13,4,4,1,3.70,0.99880
13,4,8,0,3.18,1.07485
13,4,12,0,2.58,0.97796
13,4,16,0,2.16,0.99815
13,5,19,0,2.58,0.75780
13,5,23,0,3.65,0.98099
13,5,27,0,3.04,-0.05386
13,5,31,1,3.22,1.01889
13,6,17,0,2.50,0.22716
13,6,21,1,2.60,0.94631
13,6,25,0,2.28,0.48881
13,6,29,0,2.28,0.16373
13,7,18,1,2.56,1.19856
13,7,22,1,2.80,0.16644
13,7,26,1,3.30,0.66705
13,7,30,0,1.68,0.06969
13,8,20,0,2.84,0.29463
13,8,24,0,3.95,1.03905
13,8,28,0,2.76,1.12787
13,8,32,0,2.72,0.44242
14,1,4,1,4.31,1.07349
14,1,8,1,1.51,0.49103
14,1,12,1,5.44,1.09572
14,1,16,1,1.99,-0.15315
14,2,2,0,2.81,-0.19849
14,2,6,1,2.25,1.03871
14,2,10,0,2.44,0.22023
14,2,14,1,1.54,0.27674
14,3,3,1,1.51,0.17583
14,3,7,1,2.50,1.14853
14,3,11,1,2.36,1.03302
14,3,15,0,1.57,0.09698
14,4,1,0,3.63,1.00834
14,4,5,0,1.56,0.20063
14,4,9,0,3.31,1.03686
14,4,13,0,2.56,0.10923
14,5,20,0,3.04,1.00820
14,5,24,0,1.80,0.08454
14,5,28,0,2.37,1.05583
14,5,32,1,2.31,1.01543
14,6,18,1,1.63,0.72008
14,6,22,1,1.92,-0.03923
14,6,26,1,1.57,0.28750
14,6,30,1,5.30,1.02010
14,7,19,1,1.74,0.12196
14,7,23,0,3.04,1.06596
14,7,27,0,1.39,-0.16047
14,7,31,0,1.62,0.20127
14,8,17,1,1.84,0.18708
14,8,21,0,3.60,0.11958
14,8,25,1,3.73,0.04130
14,8,29,0,1.69,0.86368
21,1,1,1,3.23,1.14763
